id,x,y,yaw
0,-42.3486,11.9855,2.43616
1,-41.5122,10.9574,2.43113
2,-43.3122,13.0465,2.44052
3,-44.4181,14.0813,2.43661
4,-45.7575,15.1734,2.43895
5,-47.0765,16.2747,2.43768
6,-48.7862,17.522,2.43307
7,-50.1731,18.5959,2.43718
8,-51.8273,20.1465,2.43654
9,-53.1172,21.2599,2.44018
10,-54.4174,22.3711,2.44073
11,-56.0294,23.8248,2.44148
12,-57.5998,25.1464,2.44227
13,-58.9841,26.3662,2.44124
14,-60.2766,27.3958,2.44998
15,-61.576,28.2844,2.44252
16,-63.1682,29.9131,2.45955
17,-65.1882,31.5424,2.45481
18,-66.1333,32.275,2.45461
19,-68.7533,34.47,2.45595
20,-69.3012,34.9055,2.45308
21,-71.4354,36.8714,2.45485
22,-73.1503,38.1524,2.4626
23,-74.5071,39.4644,2.46166
24,-75.7217,40.4806,2.45468
25,-77.058,41.6971,2.45232
26,-78.4469,42.6209,2.45061
27,-80.1166,44.0966,2.44675
28,-81.5972,45.2946,2.44801
29,-83.0253,46.5505,2.44499
30,-84.2316,47.8447,2.4487
31,-86.1702,49.2366,2.44536
32,-87.7384,50.4304,2.43893
33,-89.094,51.5348,2.43984
34,-90.8945,52.8836,2.4374
35,-92.1338,54.4746,2.44022
36,-93.849,55.8167,2.43981
37,-95.0977,56.854,2.43609
38,-96.2682,57.9813,2.4293
39,-97.81,59.0492,2.42294
40,-98.9245,60.4572,2.41646
41,-100.392,61.8556,2.42193
42,-102.023,63.5731,2.42796
43,-103.523,64.9277,2.42994
44,-105.169,66.1956,2.43128
45,-106.376,67.1575,2.42782
46,-107.511,68.5916,2.43287
47,-109.097,69.8468,2.43099
48,-110.741,71.29,2.4363
49,-112.021,72.3664,2.43866
50,-113.217,73.5004,2.43216
51,-115.142,75.0154,2.42922
52,-116.566,75.7038,2.4298
53,-117.786,77.1186,2.42981
54,-119.039,78.2787,2.428
55,-120.614,79.6238,2.42958
56,-121.679,80.5168,2.42425
57,-123.046,81.946,2.42578
58,-124.435,83.145,2.43127
59,-125.8,84.3309,2.43054
60,-126.992,85.468,2.4282
61,-128.494,86.758,2.42672
62,-129.89,87.8939,2.42933
63,-131.288,89.1035,2.42688
64,-131.983,89.8737,2.4371
65,-134.097,91.7855,2.42744
66,-135.233,92.7204,2.42976
67,-136.506,94.0266,2.42697
68,-137.918,95.5508,2.42628
69,-139.324,96.7584,2.42947
70,-140.65,97.8677,2.42601
71,-141.918,99.0517,2.42714
72,-143.133,99.9981,2.42748
73,-143.995,100.806,2.42968
74,-145.201,102.382,2.44005
75,-147.752,104.22,2.42472
76,-149.069,105.294,2.42823
77,-149.875,106.186,2.41924
78,-151.906,108.092,2.42532
79,-152.633,108.732,2.4293
80,-154.36,110.179,2.44178
81,-155.586,111.334,2.44488
82,-157.069,112.635,2.44657
83,-158.868,114.134,2.44461
84,-160.249,115.39,2.44545
85,-161.894,116.573,2.4417
86,-163.319,117.945,2.4411
87,-164.81,119.326,2.44226
88,-166.139,120.399,2.43623
89,-167.471,121.621,2.43819
90,-168.892,123.06,2.43322
91,-169.894,123.922,2.44229
92,-171.274,125.38,2.43672
93,-172.834,126.64,2.43628
94,-174.234,127.734,2.43927
95,-175.44,128.988,2.44441
96,-177.274,130.482,2.44353
97,-178.613,131.729,2.44074
98,-179.974,133.087,2.44183
99,-181.617,134.603,2.43881
100,-182.564,135.253,2.43947
101,-184.485,137.125,2.44126
102,-186.038,138.499,2.44037
103,-187.59,139.849,2.44094
104,-188.81,140.843,2.44328
105,-190.014,141.921,2.43575
106,-191.441,143.327,2.43364
107,-192.989,144.643,2.43762
108,-194.558,146.068,2.437
109,-195.983,147.02,2.43662
110,-197.307,148.12,2.43552
111,-199.073,149.941,2.4349
112,-199.919,150.711,2.43382
113,-201.054,151.472,2.4343
114,-202.131,152.403,2.43163
115,-203.87,153.905,2.42746
116,-204.43,154.577,2.42361
117,-205.985,155.661,2.42436
118,-206.681,156.287,2.42506
119,-207.561,157.102,2.4239
120,-208.216,157.765,2.42431
121,-208.751,158.588,2.42324
122,-209.593,159.365,2.42195
123,-210.455,160.104,2.42195
124,-211.379,161.033,2.42281
125,-212.085,161.642,2.42854
126,-212.669,162.036,2.42958
127,-213.457,162.803,2.42737
128,-214.463,163.664,2.42681
129,-215.169,164.202,2.43282
130,-215.6,164.606,2.43299
131,-216.139,165.248,2.43367
132,-216.557,165.544,2.43527
133,-217.09,165.874,2.43858
134,-217.707,166.17,2.44123
135,-218.212,166.698,2.44383
136,-218.957,167.371,2.44041
137,-219.724,167.836,2.4387
138,-220.306,168.245,2.43756
139,-220.852,168.911,2.43657
140,-221.481,169.637,2.43412
141,-222.153,170.194,2.4359
142,-222.993,170.928,2.43349
143,-223.859,171.774,2.43595
144,-224.828,172.698,2.4357
145,-225.56,173.46,2.4375
146,-226.807,174.148,2.43523
147,-227.5,175.154,2.43281
148,-228.665,176.175,2.4384
149,-230.259,177.523,2.44412
150,-230.866,178.328,2.44066
151,-232.315,179.415,2.43989
152,-233.648,180.407,2.44314
153,-235.094,181.744,2.44068
154,-236.099,182.644,2.44176
155,-237.475,183.906,2.43886
156,-238.995,185.041,2.43684
157,-240.063,186.135,2.43719
158,-241.925,187.726,2.43554
159,-243.307,188.923,2.43242
160,-245.196,190.287,2.43351
161,-246.597,191.664,2.43408
162,-248.522,193.285,2.44116
163,-249.747,194.289,2.44611
164,-251.172,195.657,2.4476
165,-253.093,197.361,2.44719
166,-254.483,198.657,2.44253
167,-256.502,200.393,2.44536
168,-258.192,201.529,2.44989
169,-259.852,202.937,2.4466
170,-262.426,205.42,2.44807
171,-263.048,206.053,2.44527
172,-265.471,208.306,2.44126
173,-267.221,209.854,2.4347
174,-268.743,211.135,2.4292
175,-270.238,212.597,2.4326
176,-272.281,214.596,2.43621
177,-273.398,215.442,2.44043
178,-274.651,216.736,2.42745
179,-276.358,218.212,2.42814
180,-277.743,219.419,2.42608
181,-278.784,220.471,2.42664
182,-280.09,221.487,2.42973
183,-281.251,222.396,2.4306
184,-282.695,223.689,2.44387
185,-283.296,224.271,2.44133
186,-284.311,225.254,2.43727
187,-284.789,225.593,2.43738
188,-285.747,226.46,2.43485
189,-287.381,227.841,2.43798
190,-287.663,227.859,2.42293
191,-288.319,228.462,2.42427
192,-289.413,229.377,2.43493
