seq,x,y,yaw
0,-42.4405,11.8178,2.43746
1,-41.3948,10.6185,2.42987
2,-43.4596,13.0023,2.43953
3,-44.6992,13.9563,2.43575
4,-46.0833,15.1763,2.43877
5,-47.0862,16.0501,2.43494
6,-48.9262,17.4078,2.43391
7,-50.2664,18.4587,2.43677
8,-52.1274,20.137,2.4398
9,-53.2888,21.1173,2.44273
10,-54.6539,22.2586,2.44385
11,-56.1094,23.8251,2.44337
12,-57.6964,25.0366,2.44418
13,-58.9922,26.1582,2.44272
14,-60.3333,27.3141,2.45254
15,-61.5537,28.1369,2.4423
16,-63.2572,29.914,2.46784
17,-65.1909,31.3743,2.45849
18,-66.3498,32.3825,2.45586
19,-69.0712,34.6826,2.45862
20,-69.3357,34.9359,2.4553
21,-71.522,36.9304,2.46205
22,-73.4143,38.2297,2.46435
23,-74.7131,39.4266,2.46119
24,-75.8858,40.3846,2.45448
25,-77.1306,41.607,2.45096
26,-78.4732,42.5606,2.44985
27,-80.148,44.039,2.44552
28,-81.6911,45.2288,2.44717
29,-83.0539,46.539,2.44516
30,-84.5212,47.7497,2.44616
31,-86.1006,49.2785,2.44722
32,-87.7562,50.3864,2.43891
33,-89.1125,51.5158,2.43849
34,-91.0028,52.7824,2.43475
35,-92.1373,54.4082,2.43766
36,-93.9638,55.7989,2.43953
37,-95.3651,56.8275,2.43762
38,-96.3012,57.8722,2.42772
39,-97.8808,59.2035,2.4233
40,-99.129,60.5704,2.41628
41,-100.606,61.9265,2.42321
42,-102.159,63.5011,2.43023
43,-103.525,64.9246,2.42995
44,-105.242,66.2117,2.43209
45,-106.326,67.1518,2.42842
46,-107.463,68.5488,2.43257
47,-109.17,69.9177,2.43296
48,-110.677,71.2283,2.43695
49,-111.942,72.269,2.43864
50,-113.289,73.3828,2.43123
51,-114.985,74.9674,2.43338
52,-116.433,75.617,2.43013
53,-117.715,77.1081,2.42968
54,-119.185,78.3116,2.42856
55,-120.509,79.6349,2.4319
56,-121.748,80.4551,2.42423
57,-123.085,81.9983,2.42868
58,-124.585,83.0926,2.43179
59,-125.922,84.2993,2.4299
60,-127.154,85.4815,2.42943
61,-128.613,86.6687,2.42685
62,-129.97,87.873,2.42845
63,-131.418,88.9966,2.42521
64,-132.132,89.8972,2.43513
65,-134.104,91.6826,2.42835
66,-135.46,92.666,2.42867
67,-136.764,93.9784,2.4276
68,-138.148,95.6197,2.42737
69,-139.474,96.8113,2.42953
70,-141.035,98.0792,2.42647
71,-142.177,99.1606,2.42813
72,-143.295,100.115,2.43098
73,-144.26,101.037,2.43552
74,-145.616,102.696,2.44484
75,-147.956,104.312,2.4272
76,-149.139,105.275,2.42774
77,-150.221,106.467,2.42577
78,-152.144,108.181,2.42161
79,-152.843,108.753,2.42553
80,-154.364,110.03,2.44167
81,-155.611,111.315,2.44773
82,-157.143,112.598,2.44715
83,-159.075,114.143,2.44431
84,-160.288,115.41,2.45002
85,-162.06,116.602,2.44269
86,-163.397,117.954,2.44231
87,-164.765,119.313,2.44397
88,-166.221,120.416,2.43503
89,-167.52,121.644,2.442
90,-169.017,123.141,2.43797
91,-170.286,124.168,2.44247
92,-171.565,125.602,2.43684
93,-172.94,126.76,2.4392
94,-174.396,127.932,2.44431
95,-175.563,128.896,2.44709
96,-177.742,130.677,2.4511
97,-178.798,131.809,2.44599
98,-180.103,133.053,2.44493
99,-181.549,134.463,2.44086
100,-182.769,135.37,2.44233
101,-184.466,136.975,2.44492
102,-186.037,138.356,2.44227
103,-187.585,139.687,2.44113
104,-188.776,140.696,2.44356
105,-189.903,141.782,2.44304
106,-191.453,143.303,2.43369
107,-193.022,144.593,2.43753
108,-194.379,145.758,2.44039
109,-195.911,146.883,2.43794
110,-197.099,147.964,2.43757
111,-198.824,149.652,2.43713
112,-199.54,150.414,2.43228
113,-200.914,151.205,2.43543
114,-202.118,152.23,2.43242
115,-203.338,153.528,2.4284
116,-204.307,154.545,2.42272
117,-205.645,155.405,2.42386
118,-206.504,156.214,2.42539
119,-207.406,156.98,2.42528
120,-208.197,157.913,2.42366
121,-208.761,158.638,2.42053
122,-209.652,159.375,2.42063
123,-210.499,160.067,2.42071
124,-211.31,160.961,2.42232
125,-211.972,161.526,2.42809
126,-212.602,162.025,2.42999
127,-213.213,162.665,2.42839
128,-214.101,163.416,2.42748
129,-214.912,164.116,2.43269
130,-215.323,164.525,2.4327
131,-215.928,165.174,2.43635
132,-216.458,165.605,2.43581
133,-217.04,165.875,2.43967
134,-217.685,166.196,2.44141
135,-218.107,166.617,2.44604
136,-218.819,167.271,2.442
137,-219.685,167.833,2.44011
138,-220.298,168.349,2.4366
139,-220.769,168.974,2.43649
140,-221.457,169.745,2.43424
141,-222.102,170.319,2.43576
142,-222.844,170.99,2.43114
143,-223.75,171.814,2.43463
144,-224.763,172.701,2.43584
145,-225.571,173.572,2.43681
146,-226.695,174.14,2.4359
147,-227.477,175.204,2.43475
148,-228.572,176.163,2.43451
149,-229.944,177.576,2.44161
150,-230.728,178.198,2.44043
151,-232.173,179.438,2.43701
152,-233.461,180.343,2.43893
153,-235.126,181.879,2.44031
154,-236.037,182.713,2.44079
155,-237.311,183.925,2.43736
156,-238.964,185.19,2.43468
157,-240.07,186.281,2.43735
158,-241.937,187.82,2.43457
159,-243.363,189.059,2.43142
160,-245.115,190.273,2.4327
161,-246.543,191.65,2.43162
162,-248.434,193.296,2.44094
163,-249.686,194.364,2.4434
164,-250.938,195.766,2.44455
165,-252.965,197.325,2.44435
166,-254.412,198.702,2.44128
167,-256.237,200.275,2.44591
168,-258.251,201.672,2.44393
169,-260.09,203.107,2.44502
170,-262.582,205.564,2.44862
171,-262.919,205.944,2.44352
172,-265.518,208.419,2.44188
173,-267.171,209.885,2.43326
174,-267.835,210.531,2.43029
175,-270.255,212.685,2.43052
176,-272.206,214.612,2.43406
177,-273.503,215.614,2.43923
178,-274.516,216.769,2.42334
179,-276.396,218.339,2.42566
180,-277.662,219.473,2.42456
181,-278.844,220.654,2.42522
182,-280.103,221.522,2.42906
183,-281.18,222.373,2.43441
184,-282.64,223.755,2.44459
185,-283.273,224.31,2.44027
186,-284.263,225.293,2.43652
187,-284.659,225.513,2.43394
188,-285.54,226.39,2.42248
189,-287.169,227.689,2.43748
190,-287.628,227.843,2.42393
191,-288.267,228.509,2.42252
192,-289.258,229.274,2.43957
193,-290.42,230.459,2.43515
194,-291.794,231.665,2.44322
195,-295.745,235.057,2.45727
196,-293.713,233.433,2.45005
197,-294.445,234.264,2.44193
198,-295.371,235.058,2.44309
199,-296.089,235.556,2.43886
