id,x,y,yaw
0,-41.247,10.3504,2.43066
1,-41.7919,10.99,2.43228
2,-43.0188,12.3519,2.43464
3,-44.4731,13.7519,2.43573
4,-46.0094,14.9768,2.43705
5,-47.2584,16.0199,2.4367
6,-48.8581,17.3417,2.4363
7,-50.5473,18.6614,2.43844
8,-52.1535,19.9989,2.44002
9,-53.521,21.1455,2.44183
10,-54.7828,22.1559,2.44284
11,-56.112,23.5223,2.44365
12,-57.5966,24.9645,2.44574
13,-59.0599,26.1699,2.44565
14,-60.4444,27.3661,2.44915
15,-61.6012,28.2628,2.44618
16,-63.1461,29.647,2.45444
17,-65.0407,31.2384,2.4569
18,-66.6932,32.5979,2.45772
19,-68.7807,34.3845,2.45839
20,-69.9661,35.4341,2.45761
21,-71.375,36.7259,2.45979
22,-73.3314,38.1885,2.46218
23,-74.7383,39.3272,2.45949
24,-76.0148,40.3775,2.45788
25,-77.267,41.5602,2.45504
26,-78.4559,42.6644,2.45286
27,-79.9765,43.9492,2.45052
28,-81.6286,45.2524,2.44914
29,-83.1096,46.5323,2.44774
30,-84.6067,47.7793,2.44685
31,-86.1167,49.1852,2.44735
32,-87.7014,50.4313,2.44403
33,-89.2368,51.5192,2.44172
34,-90.962,52.6737,2.43856
35,-92.3369,54.1624,2.43793
36,-93.8326,55.6851,2.43861
37,-95.4807,56.8776,2.43781
38,-96.6539,57.9784,2.43429
39,-97.8819,59.307,2.43185
40,-99.1966,60.6071,2.42655
41,-100.627,61.9122,2.4253
42,-102.173,63.3769,2.42694
43,-103.567,64.8916,2.42813
44,-105.067,66.2328,2.42951
45,-106.371,67.2897,2.4291
46,-107.51,68.4546,2.43031
47,-109.009,69.819,2.43139
48,-110.578,71.1525,2.43337
49,-111.964,72.3323,2.43529
50,-113.313,73.4585,2.43384
51,-114.838,74.7659,2.43213
52,-116.405,75.7664,2.43183
53,-117.769,76.9693,2.43154
54,-119.153,78.2346,2.4305
55,-120.535,79.4932,2.4303
56,-121.871,80.5613,2.42841
57,-123.165,81.8954,2.4292
58,-124.584,83.1453,2.4302
59,-125.985,84.3079,2.43028
60,-127.266,85.4597,2.43009
61,-128.576,86.6583,2.42914
62,-129.997,87.8333,2.42879
63,-131.463,88.9964,2.42725
64,-132.519,89.9958,2.42942
65,-133.893,91.3918,2.42952
66,-135.477,92.6479,2.42891
67,-136.868,93.8843,2.42838
68,-138.211,95.4428,2.4282
69,-139.577,96.8453,2.42867
70,-141.09,98.1993,2.42868
71,-142.388,99.3533,2.42931
72,-143.469,100.333,2.43173
73,-144.458,101.227,2.43343
74,-145.972,102.737,2.4373
75,-147.791,104.263,2.43361
