id,x,y,yaw
0,-41.3887,10.6142,2.42988
1,-41.8909,11.189,2.43197
2,-42.9754,12.4404,2.4344
3,-44.2881,13.6731,2.43487
4,-45.7532,14.9333,2.43624
5,-47.0222,16.0246,2.43578
6,-48.607,17.2444,2.43511
7,-50.1833,18.4347,2.43571
8,-51.9137,19.9022,2.43717
9,-53.3861,21.1818,2.43916
10,-54.7093,22.3051,2.44084
11,-56.1037,23.6861,2.44175
12,-57.6273,25.0387,2.44262
13,-59.0448,26.2256,2.44266
14,-60.3788,27.3622,2.4462
15,-61.6222,28.2982,2.44458
16,-63.1218,29.6753,2.45291
17,-64.9635,31.2446,2.45491
18,-66.4753,32.4929,2.45525
19,-68.6185,34.3015,2.45645
20,-69.8645,35.3695,2.456
21,-71.3472,36.7244,2.45816
22,-73.2547,38.2211,2.46038
23,-74.8339,39.499,2.4606
24,-76.0822,40.5486,2.45841
25,-77.2584,41.6395,2.45574
26,-78.5101,42.6614,2.45363
27,-80.0232,43.9176,2.45073
28,-81.62,45.2092,2.44945
29,-83.0865,46.4995,2.44791
30,-84.5254,47.7568,2.44729
31,-86.0539,49.1703,2.44728
32,-87.6819,50.4504,2.44429
33,-89.1725,51.5891,2.44221
34,-90.8632,52.7822,2.43954
35,-92.2938,54.2506,2.43887
36,-93.8651,55.7463,2.43911
37,-95.4082,56.9561,2.43858
38,-96.5458,57.9959,2.43469
39,-97.8428,59.1765,2.43061
40,-99.1723,60.5049,2.42548
41,-100.561,61.8735,2.42466
42,-102.079,63.3806,2.42665
43,-103.535,64.8853,2.42783
44,-105.13,66.2554,2.42936
45,-106.47,67.3375,2.42902
46,-107.599,68.5301,2.43029
47,-109.04,69.8717,2.43125
48,-110.607,71.2133,2.43329
49,-112.001,72.3717,2.43521
50,-113.326,73.4515,2.43378
51,-114.868,74.8225,2.43364
52,-116.415,75.8382,2.43238
53,-117.789,77.0101,2.43141
54,-119.183,78.2874,2.43039
55,-120.549,79.5865,2.43093
56,-121.819,80.6144,2.42853
57,-123.103,81.8699,2.42858
58,-124.522,83.1172,2.42973
59,-125.924,84.3051,2.42979
60,-127.211,85.4912,2.42966
61,-128.575,86.6746,2.42865
62,-129.963,87.8689,2.42858
63,-131.384,89.0235,2.42737
64,-132.392,90.0113,2.43015
65,-133.855,91.4329,2.4295
66,-135.417,92.728,2.4292
67,-136.799,93.9596,2.42863
68,-138.158,95.4589,2.42818
69,-139.499,96.845,2.42866
70,-140.963,98.1146,2.42788
71,-142.276,99.2634,2.42797
72,-143.41,100.252,2.42905
73,-144.403,101.152,2.43137
74,-145.569,102.482,2.43619
75,-147.493,104.107,2.43297
76,-149.18,105.39,2.4311
77,-150.398,106.526,2.42919
78,-151.966,108.005,2.42647
79,-153.124,109.029,2.42614
80,-154.337,110.044,2.4317
81,-155.634,111.265,2.43744
82,-157.057,112.55,2.44092
83,-158.837,114.008,2.4421
84,-160.371,115.405,2.44494
85,-161.966,116.655,2.44413
86,-163.464,117.941,2.44348
87,-164.834,119.287,2.44366
88,-166.235,120.495,2.44057
89,-167.581,121.674,2.44108
90,-168.992,123.045,2.43997
91,-170.34,124.259,2.44086
92,-171.616,125.546,2.43942
93,-172.937,126.797,2.43934
94,-174.351,127.974,2.44112
95,-175.636,129.009,2.44326
96,-177.42,130.449,2.44607
97,-178.928,131.831,2.44604
98,-180.194,133.078,2.44564
99,-181.55,134.416,2.44393
100,-182.839,135.52,2.44336
101,-184.342,136.848,2.44392
102,-185.946,138.28,2.44327
103,-187.539,139.667,2.4425
104,-188.898,140.826,2.44288
105,-190.05,141.875,2.44293
106,-191.395,143.189,2.43962
107,-192.93,144.56,2.43887
108,-194.389,145.8,2.43942
109,-195.872,146.945,2.43889
110,-197.196,148.03,2.43842
111,-198.71,149.46,2.43796
112,-199.814,150.589,2.43592
113,-200.931,151.396,2.43575
114,-202.142,152.276,2.43455
115,-203.35,153.421,2.43235
116,-204.412,154.548,2.4289
117,-205.593,155.493,2.42709
118,-206.623,156.314,2.42648
119,-207.51,157.07,2.42605
120,-208.311,157.909,2.42519
121,-208.933,158.697,2.42352
122,-209.664,159.429,2.42248
123,-210.489,160.121,2.42185
124,-211.311,160.919,2.42202
125,-212.033,161.605,2.42419
126,-212.671,162.133,2.42627
127,-213.271,162.692,2.42703
128,-214.03,163.374,2.42719
129,-214.864,164.091,2.42916
130,-215.453,164.626,2.43043
131,-215.986,165.181,2.43254
132,-216.512,165.676,2.43371
