id,x,y,yaw
0,-41.3887,10.6142,2.42988
1,-42.3351,11.6973,2.43215
2,-43.3471,12.8718,2.43437
3,-44.564,13.8479,2.43478
4,-45.9316,15.0447,2.43597
5,-46.9715,15.9505,2.43566
6,-48.7317,17.2635,2.43513
7,-50.113,18.3392,2.43563
8,-51.9259,19.9572,2.43688
9,-53.1525,21.0013,2.43863
10,-54.5037,22.1328,2.4402
11,-55.9485,23.6557,2.44115
12,-57.5216,24.8985,2.44206
13,-58.8451,26.0322,2.44226
14,-60.1846,27.1859,2.44534
15,-61.4022,28.0415,2.44425
16,-63.0717,29.7267,2.45132
17,-64.9792,31.2094,2.45347
18,-66.2126,32.2651,2.45419
19,-68.7853,34.4407,2.45552
20,-69.2841,34.8862,2.45542
21,-71.2982,36.7259,2.45741
22,-73.2026,38.0794,2.45949
23,-74.5623,39.2924,2.46
24,-75.7532,40.2754,2.45835
25,-76.9928,41.4739,2.45613
26,-78.3249,42.4518,2.45425
27,-79.9658,43.8804,2.45163
28,-81.5183,45.094,2.45029
29,-82.9003,46.3944,2.44875
30,-84.3591,47.6141,2.44797
31,-85.9265,49.1121,2.44775
32,-87.5732,50.2582,2.4451
33,-88.959,51.3901,2.44312
34,-90.7988,52.6431,2.44061
35,-92.0033,54.2319,2.43973
36,-93.7677,55.6422,2.43967
37,-95.2048,56.7091,2.43906
38,-96.1913,57.7562,2.43566
39,-97.7118,59.0588,2.43195
40,-98.9872,60.4192,2.42725
41,-100.44,61.7719,2.42603
42,-101.987,63.3283,2.42729
43,-103.371,64.7651,2.42809
44,-105.055,66.0671,2.42929
45,-106.2,67.0415,2.42902
46,-107.337,68.398,2.43009
47,-108.987,69.766,2.43095
48,-110.508,71.0828,2.43275
49,-111.798,72.1507,2.43452
50,-113.14,73.2594,2.43353
51,-114.8,74.7963,2.43348
52,-116.269,75.535,2.43248
53,-117.57,76.9508,2.43164
54,-119.024,78.1755,2.43071
55,-120.36,79.489,2.43107
56,-121.609,80.3585,2.42902
57,-122.937,81.834,2.42892
58,-124.419,82.966,2.42978
59,-125.772,84.1656,2.42981
60,-127.015,85.35,2.4297
61,-128.453,86.5368,2.42884
62,-129.818,87.739,2.42873
63,-131.258,88.8708,2.42767
64,-132.045,89.7947,2.42991
65,-133.899,91.4944,2.42944
66,-135.304,92.5489,2.42921
67,-136.62,93.8353,2.42872
68,-137.995,95.4412,2.42832
69,-139.326,96.6743,2.42868
70,-140.864,97.9385,2.42802
71,-142.046,99.0383,2.42805
72,-143.17,100.008,2.42893
73,-144.151,100.934,2.43091
74,-145.47,102.52,2.43509
75,-147.708,104.133,2.43272
76,-148.995,105.16,2.43122
77,-150.098,106.335,2.42959
78,-151.939,107.997,2.42719
79,-152.753,108.678,2.42669
80,-154.203,109.894,2.43119
81,-155.47,111.173,2.43615
82,-156.976,112.456,2.43945
83,-158.866,113.975,2.44091
84,-160.146,115.267,2.44364
85,-161.869,116.468,2.44335
86,-163.244,117.805,2.44304
87,-164.613,119.163,2.44332
88,-166.061,120.291,2.44083
89,-167.374,121.509,2.44118
90,-168.853,122.978,2.44022
91,-170.142,124.049,2.44089
92,-171.423,125.447,2.43968
93,-172.788,126.628,2.43953
94,-174.235,127.802,2.44097
95,-175.43,128.787,2.4428
96,-177.511,130.488,2.44529
97,-178.669,131.677,2.4455
98,-179.96,132.916,2.44533
99,-181.391,134.308,2.44399
100,-182.632,135.264,2.44349
101,-184.283,136.804,2.44392
102,-185.844,138.179,2.44338
103,-187.411,139.536,2.4427
104,-188.64,140.58,2.44296
105,-189.776,141.662,2.44298
106,-191.285,143.139,2.44019
107,-192.848,144.448,2.43939
108,-194.225,145.626,2.4397
109,-195.743,146.757,2.43917
110,-196.963,147.844,2.43869
111,-198.638,149.472,2.43822
112,-199.451,150.32,2.43644
113,-200.768,151.117,2.43614
114,-201.983,152.119,2.43502
115,-203.202,153.387,2.43303
116,-204.195,154.428,2.42994
117,-205.5,155.308,2.42812
118,-206.404,156.123,2.4273
119,-207.305,156.894,2.42669
120,-208.108,157.811,2.42578
121,-208.696,158.556,2.42421
122,-209.557,159.293,2.42313
123,-210.405,159.99,2.42241
124,-211.22,160.864,2.42238
125,-211.896,161.46,2.42409
126,-212.531,161.969,2.42586
127,-213.145,162.596,2.42662
128,-214.005,163.334,2.42688
129,-214.82,164.036,2.42862
130,-215.273,164.475,2.42985
131,-215.866,165.107,2.4318
132,-216.399,165.556,2.433
133,-216.976,165.843,2.435
134,-217.614,166.161,2.43692
135,-218.058,166.571,2.43966
136,-218.743,167.201,2.44036
137,-219.591,167.77,2.44029
138,-220.228,168.291,2.43918
139,-220.715,168.906,2.43837
140,-221.382,169.661,2.43713
141,-222.03,170.253,2.43672
142,-222.762,170.916,2.43505
143,-223.651,171.724,2.43492
144,-224.652,172.604,2.4352
145,-225.475,173.472,2.43569
146,-226.574,174.074,2.43575
147,-227.387,175.091,2.43545
148,-228.453,176.056,2.43517
149,-229.798,177.422,2.4371
150,-230.635,178.121,2.4381
151,-232.02,179.306,2.43777
152,-233.317,180.239,2.43812
153,-234.945,181.715,2.43878
154,-235.927,182.613,2.43938
155,-237.172,183.793,2.43878
156,-238.784,185.05,2.43755
157,-239.942,186.158,2.43749
158,-241.738,187.653,2.43661
159,-243.201,188.918,2.43505
160,-244.925,190.138,2.43435
161,-246.38,191.502,2.43357
162,-248.228,193.116,2.43578
163,-249.541,194.24,2.43806
164,-250.799,195.614,2.44001
165,-252.749,197.154,2.44131
166,-254.246,198.547,2.4413
167,-256.038,200.102,2.44269
168,-258.03,201.515,2.44306
169,-259.884,202.948,2.44365
170,-262.311,205.301,2.44514
171,-262.854,205.876,2.44464
172,-265.252,208.165,2.44381
173,-266.979,209.713,2.44065
174,-267.75,210.449,2.43754
175,-270.005,212.462,2.43544
176,-271.986,214.397,2.43502
177,-273.351,215.492,2.43629
178,-274.4,216.641,2.43241
179,-276.196,218.168,2.43042
180,-277.516,219.343,2.42866
181,-278.71,220.521,2.42763
182,-279.964,221.422,2.42806
183,-281.058,222.279,2.42996
184,-282.482,223.607,2.43435
185,-283.194,224.239,2.43613
186,-284.158,225.188,2.43625
187,-284.608,225.48,2.43555
188,-285.447,226.299,2.43163
189,-286.997,227.55,2.43339
190,-287.566,227.816,2.43053
191,-288.243,228.484,2.42962
192,-289.156,229.195,2.43261
193,-290.296,230.334,2.43336
194,-291.644,231.532,2.43632
195,-295.333,234.703,2.44261
196,-293.875,233.56,2.44484
197,-294.388,234.193,2.44397
198,-295.273,234.972,2.4437
199,-296.008,235.497,2.44225
