id,x,y,yaw
0,-41.3887,10.6142,2.42988
1,-42.3141,11.6733,2.43215
2,-43.323,12.8433,2.43436
3,-44.5341,13.8228,2.43478
4,-45.8974,15.0139,2.43598
5,-46.9443,15.9267,2.43566
6,-48.6878,17.229,2.43514
7,-50.077,18.3111,2.43563
8,-51.8813,19.9179,2.43688
9,-53.1199,20.9733,2.43863
10,-54.4698,22.1043,2.4402
11,-55.9126,23.6186,2.44115
12,-57.4823,24.8664,2.44206
13,-58.811,26.0032,2.44226
14,-60.1507,27.1568,2.44534
15,-61.3711,28.019,2.44425
16,-63.0308,29.6866,2.45132
17,-64.9321,31.1717,2.45347
18,-66.1796,32.2372,2.45419
19,-68.7243,34.389,2.45552
20,-69.2655,34.8699,2.45541
21,-71.2512,36.683,2.4574
22,-73.1547,38.0442,2.45949
23,-74.5261,39.2605,2.46
24,-75.7225,40.2498,2.45834
25,-76.9616,41.4441,2.45613
26,-78.2919,42.4272,2.45425
27,-79.9253,43.8456,2.45163
28,-81.479,45.0628,2.45029
29,-82.8646,46.3615,2.44875
30,-84.3225,47.5831,2.44797
31,-85.8872,49.0751,2.44775
32,-87.5317,50.2293,2.4451
33,-88.9237,51.3617,2.44311
34,-90.7535,52.612,2.44061
35,-91.9708,54.193,2.43972
36,-93.7252,55.606,2.43967
37,-95.168,56.6811,2.43905
38,-96.165,57.7295,2.43566
39,-97.6749,59.0266,2.43195
40,-98.9544,60.3852,2.42725
41,-100.404,61.7387,2.42604
42,-101.949,63.2896,2.42729
43,-103.336,64.7286,2.42809
44,-105.014,66.0335,2.42929
45,-106.17,67.0158,2.42902
46,-107.308,68.3648,2.43009
47,-108.947,69.7317,2.43095
48,-110.47,71.0494,2.43275
49,-111.765,72.1229,2.43452
50,-113.106,73.2316,2.43353
51,-114.759,74.7589,2.43348
52,-116.231,75.5138,2.43248
53,-117.536,76.9166,2.43164
54,-118.987,78.1442,2.43071
55,-120.326,79.4565,2.43107
56,-121.577,80.3352,2.42902
57,-122.904,81.7985,2.42892
58,-124.383,82.9375,2.42978
59,-125.738,84.1361,2.42982
60,-126.984,85.3201,2.4297
61,-128.417,86.5069,2.42885
62,-129.783,87.7077,2.42873
63,-131.221,88.8418,2.42767
64,-132.023,89.7707,2.42991
65,-133.854,91.4534,2.42944
66,-135.267,92.5205,2.42921
67,-136.587,93.8033,2.42873
68,-137.961,95.4017,2.42832
69,-139.292,96.6424,2.42868
70,-140.826,97.9067,2.42802
71,-142.022,99.0157,2.42806
72,-143.142,99.9835,2.42893
73,-144.137,100.916,2.43093
74,-145.439,102.482,2.4351
75,-147.654,104.093,2.43273
76,-148.96,105.132,2.43123
77,-150.069,106.306,2.42959
78,-151.895,107.956,2.4272
79,-152.729,108.658,2.4267
80,-154.167,109.865,2.43119
81,-155.438,111.142,2.43615
82,-156.938,112.423,2.43945
83,-158.825,113.939,2.44088
84,-160.113,115.234,2.44362
85,-161.827,116.437,2.44334
86,-163.208,117.772,2.44303
87,-164.578,119.128,2.44331
88,-166.023,120.26,2.44083
89,-167.341,121.478,2.44118
90,-168.816,122.941,2.44022
91,-170.109,124.021,2.44089
92,-171.39,125.413,2.43968
93,-172.754,126.598,2.43953
94,-174.199,127.773,2.44097
95,-175.4,128.762,2.4428
96,-177.462,130.447,2.44529
97,-178.637,131.646,2.4455
98,-179.927,132.885,2.44533
99,-181.355,134.273,2.44399
100,-182.6,135.238,2.44349
101,-184.242,136.767,2.44392
102,-185.821,138.165,2.44343
103,-187.374,139.504,2.44274
104,-188.608,140.553,2.44298
105,-189.759,141.638,2.44287
106,-191.25,143.103,2.44012
107,-192.809,144.414,2.43934
108,-194.19,145.596,2.43966
109,-195.705,146.728,2.43914
110,-196.931,147.816,2.43867
111,-198.597,149.432,2.43821
112,-199.426,150.295,2.43644
113,-200.737,151.097,2.43614
114,-201.952,152.094,2.43502
115,-203.171,153.356,2.43303
116,-204.17,154.401,2.42994
117,-205.468,155.285,2.42812
118,-206.38,156.102,2.4273
119,-207.283,156.875,2.42669
120,-208.087,157.788,2.42578
121,-208.681,158.537,2.4242
122,-209.536,159.274,2.42313
123,-210.383,159.972,2.4224
124,-211.199,160.843,2.42238
125,-211.879,161.444,2.42409
126,-212.515,161.955,2.42586
127,-213.129,162.58,2.42662
128,-213.984,163.316,2.42688
129,-214.8,164.019,2.42862
130,-215.261,164.463,2.42985
131,-215.847,165.089,2.4318
132,-216.385,165.543,2.433
133,-216.962,165.835,2.435
134,-217.598,166.152,2.43692
135,-218.046,166.561,2.43966
136,-218.727,167.186,2.44036
137,-219.57,167.755,2.44029
138,-220.122,168.213,2.43924
139,-220.691,168.883,2.43841
140,-221.365,169.642,2.43716
141,-222.014,170.238,2.43674
142,-222.744,170.9,2.43506
143,-223.629,171.704,2.43493
144,-224.627,172.582,2.4352
145,-225.454,173.45,2.4357
146,-226.547,174.058,2.43575
147,-227.365,175.066,2.43545
148,-228.427,176.032,2.43517
149,-229.762,177.391,2.4371
150,-230.612,178.101,2.4381
151,-231.986,179.278,2.43777
152,-233.284,180.215,2.43812
153,-234.905,181.679,2.43878
154,-235.9,182.588,2.43938
155,-237.142,183.764,2.43878
156,-238.745,185.019,2.43755
157,-239.911,186.129,2.43749
158,-241.694,187.617,2.43661
159,-243.163,188.886,2.43505
160,-244.881,190.106,2.43435
161,-246.343,191.465,2.43353
162,-248.183,193.076,2.43575
163,-249.506,194.209,2.43804
164,-250.765,195.58,2.44
165,-252.701,197.116,2.44131
166,-254.206,198.512,2.4413
167,-255.993,200.063,2.44268
168,-257.98,201.479,2.44306
169,-259.836,202.911,2.44365
170,-262.247,205.241,2.4451
171,-262.834,205.856,2.44462
172,-265.196,208.112,2.4438
173,-266.934,209.672,2.44063
174,-267.726,210.426,2.43753
175,-269.952,212.414,2.43543
176,-271.936,214.348,2.43502
177,-273.317,215.463,2.43629
178,-274.372,216.612,2.43241
179,-276.153,218.13,2.43042
