id,x,y,yaw
0,-41.3887,10.6142,2.42988
1,-42.3351,11.6973,2.43367
2,-43.3471,12.8718,2.4366
3,-44.5641,13.8479,2.43617
4,-45.9314,15.0435,2.43747
5,-46.9707,15.9495,2.43621
6,-48.7299,17.261,2.43506
7,-50.1128,18.3389,2.43592
8,-51.9259,19.9572,2.43786
9,-53.1525,21.0013,2.44029
10,-54.5035,22.1325,2.44207
11,-55.9488,23.6558,2.44272
12,-57.5216,24.8985,2.44345
13,-58.8451,26.0322,2.44309
14,-60.1845,27.1859,2.44781
15,-61.4177,28.0417,2.44506
16,-63.0732,29.7267,2.45645
17,-64.9792,31.2093,2.45747
18,-66.2126,32.265,2.45666
19,-68.7854,34.4407,2.45764
20,-69.2839,34.886,2.45641
21,-71.2982,36.7259,2.45923
22,-73.2085,38.0775,2.46181
23,-74.5625,39.2914,2.4615
24,-75.7534,40.2753,2.45799
25,-76.9929,41.4738,2.45447
26,-78.325,42.4522,2.45216
27,-79.9658,43.8803,2.44884
28,-81.5184,45.094,2.44801
29,-82.9003,46.3945,2.44658
30,-84.3591,47.6141,2.44637
31,-85.9265,49.1122,2.4468
32,-87.5736,50.2589,2.44286
33,-88.9591,51.3903,2.44067
34,-90.7987,52.6433,2.43771
35,-92.003,54.232,2.43769
36,-93.7676,55.6422,2.43861
37,-95.2053,56.709,2.43812
38,-96.1913,57.7562,2.43292
39,-97.7118,59.0588,2.42811
40,-98.9873,60.4193,2.4222
41,-100.444,61.7757,2.4227
42,-101.988,63.3286,2.42646
43,-103.371,64.7652,2.42821
44,-105.055,66.0671,2.43015
45,-106.2,67.0415,2.42928
46,-107.337,68.398,2.43092
47,-108.987,69.766,2.43195
48,-110.508,71.0828,2.43445
49,-111.798,72.1505,2.43654
50,-113.14,73.2595,2.43389
51,-114.8,74.7964,2.43363
52,-116.269,75.5349,2.43188
53,-117.57,76.9508,2.43078
54,-119.024,78.1755,2.42967
55,-120.36,79.4895,2.43078
56,-121.609,80.3586,2.42751
57,-122.937,81.834,2.4281
58,-124.42,82.9668,2.42994
59,-125.772,84.1661,2.42992
60,-127.015,85.35,2.42968
61,-128.453,86.5368,2.42826
62,-129.818,87.739,2.42836
63,-131.258,88.8707,2.42678
64,-132.045,89.7947,2.43096
65,-133.899,91.4945,2.42965
66,-135.304,92.5489,2.42916
67,-136.621,93.8353,2.42839
68,-137.995,95.441,2.42788
69,-139.326,96.6743,2.4287
70,-140.864,97.9387,2.42759
71,-142.046,99.0384,2.42786
72,-143.17,100.008,2.42942
73,-144.151,100.934,2.43247
74,-145.47,102.52,2.43865
75,-147.708,104.133,2.43292
76,-148.995,105.16,2.43033
77,-150.099,106.336,2.42805
78,-151.939,107.997,2.42483
79,-152.753,108.678,2.42518
80,-154.202,109.894,2.43343
81,-155.47,111.173,2.44058
82,-156.976,112.456,2.44387
83,-158.871,113.977,2.44404
84,-160.147,115.267,2.44703
85,-161.869,116.468,2.44486
86,-163.244,117.805,2.44359
87,-164.612,119.162,2.44378
88,-166.06,120.29,2.43941
89,-167.374,121.509,2.4407
90,-168.853,122.978,2.43934
91,-170.142,124.049,2.4409
92,-171.423,125.447,2.43887
93,-172.788,126.628,2.43904
94,-174.235,127.802,2.44167
95,-175.431,128.787,2.44438
96,-177.511,130.488,2.44774
97,-178.669,131.676,2.44686
98,-179.959,132.916,2.4459
99,-181.391,134.308,2.44338
100,-182.632,135.264,2.44286
101,-184.283,136.804,2.44389
102,-185.861,138.201,2.44308
103,-187.413,139.538,2.4421
104,-188.64,140.58,2.44283
105,-189.789,141.67,2.44274
106,-191.287,143.14,2.43821
107,-192.848,144.448,2.43787
108,-194.226,145.627,2.43913
109,-195.743,146.757,2.43854
110,-196.963,147.843,2.43805
111,-198.638,149.472,2.43759
112,-199.45,150.32,2.43494
113,-200.769,151.117,2.43519
114,-201.983,152.119,2.4338
115,-203.202,153.387,2.4311
116,-204.195,154.428,2.42692
117,-205.5,155.307,2.42539
118,-206.404,156.123,2.42539
119,-207.305,156.894,2.42533
120,-208.107,157.811,2.4245
121,-208.696,158.556,2.42251
122,-209.556,159.293,2.42157
123,-210.405,159.99,2.42114
124,-211.22,160.864,2.42173
125,-211.896,161.461,2.42491
126,-212.531,161.969,2.42745
127,-213.145,162.596,2.42792
128,-214.005,163.334,2.4277
129,-214.82,164.036,2.4302
130,-215.273,164.475,2.43145
131,-215.862,165.104,2.4339
132,-216.399,165.556,2.43485
133,-216.976,165.843,2.43726
134,-217.614,166.161,2.43933
135,-218.058,166.571,2.44269
136,-218.743,167.201,2.44235
137,-219.591,167.77,2.44123
138,-220.228,168.291,2.43891
139,-220.715,168.906,2.4377
140,-221.382,169.661,2.43597
141,-222.03,170.253,2.43586
142,-222.763,170.917,2.4335
143,-223.651,171.725,2.43406
144,-224.652,172.604,2.43496
145,-225.479,173.475,2.4358
146,-226.573,174.074,2.43585
147,-227.386,175.091,2.4353
148,-228.453,176.056,2.43491
149,-229.798,177.422,2.43826
150,-230.635,178.121,2.43935
151,-232.02,179.306,2.43818
152,-233.317,180.239,2.43855
153,-234.946,181.715,2.43943
154,-235.928,182.613,2.44011
155,-237.172,183.793,2.43874
156,-238.784,185.05,2.43671
157,-239.941,186.158,2.43703
158,-241.738,187.653,2.4358
159,-243.201,188.918,2.43361
160,-244.924,190.137,2.43315
161,-246.379,191.502,2.43246
162,-248.228,193.116,2.4367
163,-249.54,194.239,2.44005
164,-250.797,195.614,2.44231
165,-252.748,197.154,2.44333
166,-254.245,198.547,2.44231
167,-256.038,200.102,2.44411
168,-258.03,201.513,2.44398
169,-259.884,202.948,2.4445
170,-262.307,205.298,2.4465
171,-262.854,205.876,2.445
172,-265.252,208.165,2.44344
173,-266.979,209.713,2.43835
174,-267.75,210.449,2.43432
175,-270.006,212.462,2.43242
176,-271.986,214.397,2.43324
177,-273.345,215.487,2.43622
178,-274.398,216.64,2.42978
179,-276.196,218.168,2.42778
180,-277.516,219.343,2.42617
181,-278.711,220.523,2.42569
182,-279.964,221.422,2.42737
183,-281.058,222.278,2.43089
184,-282.482,223.607,2.43774
185,-283.194,224.239,2.43901
186,-284.156,225.188,2.43777
187,-284.608,225.48,2.43585
188,-285.447,226.299,2.42917
189,-286.997,227.55,2.43333
190,-287.563,227.814,2.42861
191,-288.242,228.484,2.42806
192,-289.156,229.195,2.43382
193,-290.295,230.334,2.43447
194,-291.887,231.823,2.43843
195,-295.359,234.734,2.44785
196,-293.877,233.563,2.44895
197,-294.389,234.194,2.44544
198,-295.272,234.972,2.44426
199,-296.008,235.497,2.44156
