id,x,y,yaw
0,-42.4405,11.8178,2.43746
1,-41.604,10.8584,2.43518
2,-43.0885,12.5735,2.43649
3,-44.3771,13.6798,2.43627
4,-45.7423,14.8783,2.43702
5,-46.8183,15.8166,2.43639
6,-48.504,17.0887,2.43565
7,-49.914,18.1847,2.43599
8,-51.6227,19.7418,2.43639
9,-52.955,20.8431,2.43826
10,-54.3141,21.9755,2.43994
11,-55.7503,23.4551,2.44097
12,-57.3071,24.7203,2.44193
13,-58.6552,25.8706,2.44217
14,-59.9978,27.0254,2.44528
15,-61.2296,27.9144,2.4442
16,-62.8515,29.5136,2.45129
17,-64.7233,31.002,2.45345
18,-66.0244,32.1063,2.45417
19,-68.4617,34.167,2.4555
20,-69.164,34.782,2.45541
21,-71.0504,36.5006,2.4574
22,-72.9416,37.8839,2.45949
23,-74.3587,39.1178,2.46
24,-75.5802,40.1313,2.45834
25,-76.8205,41.3118,2.45613
26,-78.1425,42.3107,2.45424
27,-79.7469,43.6933,2.45163
28,-81.3021,44.9216,2.45029
29,-82.7035,46.2155,2.44875
30,-84.1577,47.4428,2.44798
31,-85.713,48.9146,2.44776
32,-87.3476,50.0913,2.44511
33,-88.76,51.231,2.44313
34,-90.5548,52.4717,2.44061
35,-91.8202,54.0214,2.43973
36,-93.5351,55.4434,2.43967
37,-95.004,56.5479,2.43902
38,-96.0415,57.6076,2.43564
39,-97.5129,58.8843,2.43193
40,-98.8057,60.2332,2.42724
41,-100.246,61.5878,2.42603
42,-101.777,63.1188,2.42729
43,-103.175,64.5636,2.42809
44,-104.829,65.8819,2.42929
45,-106.028,66.8962,2.42902
46,-107.176,68.2186,2.43009
47,-108.772,69.5781,2.43095
48,-110.296,70.8982,2.43275
49,-111.613,71.9951,2.43452
50,-112.953,73.1051,2.43353
51,-114.578,74.5947,2.43348
52,-116.062,75.4124,2.43248
53,-117.384,76.769,2.43164
54,-118.825,78.0031,2.43071
55,-120.172,79.3085,2.43107
56,-121.433,80.2257,2.42902
57,-122.754,81.6436,2.42892
58,-124.219,82.8028,2.42978
59,-125.581,84,2.42982
60,-126.839,85.1852,2.4297
61,-128.258,86.372,2.42885
62,-129.627,87.5724,2.42873
63,-131.06,88.7112,2.42767
64,-131.918,89.6601,2.42991
65,-133.667,91.2783,2.42944
66,-135.101,92.3885,2.42921
67,-136.432,93.661,2.42873
68,-137.805,95.2278,2.42832
69,-139.14,96.4948,2.42868
70,-140.656,97.7623,2.42802
71,-141.873,98.881,2.42805
72,-143.009,99.8665,2.42894
73,-144.02,100.808,2.43093
74,-145.297,102.318,2.43511
75,-147.424,103.913,2.43273
76,-148.795,105.002,2.43123
77,-149.936,106.174,2.42959
78,-151.699,107.782,2.42711
79,-152.614,108.559,2.42663
80,-154.014,109.735,2.43115
81,-155.291,110.999,2.43613
82,-156.772,112.278,2.43944
83,-158.615,113.77,2.4409
84,-159.953,115.082,2.44363
85,-161.639,116.298,2.44335
86,-163.045,117.623,2.44304
87,-164.421,118.975,2.44332
88,-165.861,120.127,2.44083
89,-167.189,121.341,2.44118
90,-168.651,122.781,2.44022
91,-169.959,123.891,2.44089
92,-171.244,125.26,2.43968
93,-172.601,126.46,2.43953
94,-174.037,127.638,2.44097
95,-175.258,128.645,2.4428
96,-177.246,130.271,2.44529
97,-178.488,131.501,2.4455
98,-179.78,132.743,2.44533
99,-181.195,134.119,2.44399
100,-182.455,135.12,2.44349
101,-184.064,136.604,2.44392
102,-185.628,137.987,2.44338
103,-187.194,139.346,2.4427
104,-188.46,140.426,2.44296
105,-189.624,141.514,2.44285
106,-191.087,142.945,2.4401
107,-192.635,144.264,2.43933
108,-194.03,145.459,2.43965
109,-195.535,146.598,2.43914
110,-196.786,147.691,2.43867
111,-198.417,149.26,2.43821
112,-199.316,150.183,2.43643
113,-200.595,151.001,2.43613
114,-201.814,151.984,2.43502
115,-203.033,153.219,2.43303
116,-204.052,154.279,2.42994
117,-205.326,155.18,2.42812
118,-206.269,156.007,2.4273
119,-207.178,156.785,2.42669
120,-207.993,157.687,2.42578
121,-208.608,158.448,2.4242
122,-209.443,159.19,2.42313
123,-210.288,159.892,2.4224
124,-211.106,160.747,2.42238
125,-211.798,161.371,2.42409
126,-212.441,161.894,2.42586
127,-213.059,162.511,2.42662
128,-213.892,163.235,2.42688
129,-214.708,163.939,2.42862
130,-215.201,164.407,2.42985
131,-215.782,165.021,2.4318
132,-216.323,165.488,2.433
133,-216.897,165.798,2.435
134,-217.527,166.116,2.43692
135,-217.991,166.517,2.43966
136,-218.653,167.12,2.44036
137,-219.479,167.69,2.44029
138,-220.135,168.218,2.43918
139,-220.642,168.823,2.43837
140,-221.294,169.561,2.43713
141,-221.941,170.167,2.43672
142,-222.663,170.826,2.43504
143,-223.533,171.616,2.43492
144,-224.517,172.484,2.4352
145,-225.359,173.354,2.43569
146,-226.428,173.984,2.43575
147,-227.267,174.96,2.43545
148,-228.311,175.923,2.43517
149,-229.617,177.245,2.4371
150,-230.506,178.008,2.4381
151,-231.839,179.152,2.43777
152,-233.137,180.105,2.43812
153,-234.729,181.524,2.43878
154,-235.775,182.475,2.43938
155,-237.003,183.635,2.43878
156,-238.571,184.879,2.43755
157,-239.77,186.001,2.43749
158,-241.504,187.456,2.43661
159,-242.991,188.738,2.43505
160,-244.69,189.966,2.43435
161,-246.172,191.313,2.43353
162,-247.981,192.899,2.43575
163,-249.345,194.071,2.43805
164,-250.62,195.427,2.44
165,-252.496,196.946,2.44131
166,-254.029,198.351,2.4413
167,-255.795,199.89,2.44268
168,-257.76,201.315,2.44306
169,-259.624,202.749,2.44365
170,-261.991,205.002,2.44514
171,-262.73,205.752,2.44464
172,-264.961,207.886,2.44381
173,-266.729,209.485,2.44065
174,-267.615,210.322,2.43754
175,-269.727,212.213,2.43544
176,-271.71,214.132,2.43502
177,-273.146,215.319,2.4363
178,-274.242,216.478,2.43241
179,-275.966,217.966,2.43042
180,-277.323,219.172,2.42866
181,-278.542,220.358,2.42763
182,-279.791,221.289,2.42806
183,-280.902,222.157,2.42996
184,-282.293,223.435,2.43435
185,-283.075,224.133,2.43613
186,-284.026,225.061,2.43625
187,-284.531,225.422,2.43556
188,-285.339,226.196,2.43163
189,-284.003,224.73,2.42989
190,-283.969,224.649,2.43096
191,-284.526,225.254,2.43112
192,-288.311,228.47,2.43366
193,-290,230.063,2.4341
194,-291.651,231.603,2.43658
195,-294.925,234.365,2.4428
196,-293.955,233.619,2.44497
197,-294.347,234.134,2.44406
198,-295.166,234.874,2.44377
199,-295.905,235.419,2.44229
