id,x,y,yaw
0,-41.3457,10.974,2.4231
1,-41.8205,11.5251,2.43909
2,-42.8208,12.6721,2.44484
3,-44.0047,13.8186,2.43496
4,-45.3563,14.9576,2.43803
5,-46.8188,16.1084,2.43552
6,-48.4546,17.3721,2.43143
7,-50.0991,18.6666,2.42911
8,-51.6197,19.9388,2.42856
9,-53.0328,21.1967,2.44543
10,-54.3331,22.3214,2.43874
11,-55.7979,23.6521,2.4385
12,-57.5353,25.1374,2.44605
13,-59.0526,26.4042,2.44246
14,-60.3073,27.4288,2.44995
15,-61.3467,28.3235,2.42989
16,-62.9638,29.7199,2.44411
17,-65.1067,31.4876,2.44979
18,-66.7052,32.8361,2.44814
19,-68.7022,34.4879,2.46375
20,-69.8514,35.5092,2.43501
21,-71.0648,36.6482,2.44817
22,-73.3463,38.3121,2.4721
23,-74.9021,39.5585,2.45178
24,-75.7989,40.4604,2.44736
25,-76.9509,41.4931,2.44515
26,-78.2789,42.646,2.44323
27,-79.7722,43.8872,2.4345
28,-81.341,45.1527,2.43904
29,-82.8348,46.4635,2.44334
30,-84.232,47.7621,2.43726
31,-85.9388,49.0419,2.43445
32,-87.6071,50.3895,2.43611
33,-88.9323,51.6031,2.43281
34,-90.4089,52.903,2.42814
35,-91.8292,54.264,2.43387
36,-93.3878,55.4955,2.4372
37,-95.0579,56.6623,2.42604
38,-96.5499,57.8021,2.4216
39,-97.9407,58.9082,2.41413
40,-99.2294,60.3636,2.41112
41,-100.54,61.8036,2.40685
42,-102.132,63.1985,2.4045
43,-103.623,64.5201,2.4097
44,-105.123,65.8691,2.39904
45,-106.495,67.1058,2.39698
46,-107.651,68.3862,2.41176
47,-108.991,69.6162,2.41718
48,-110.599,70.9974,2.42548
49,-112.181,72.1947,2.41634
50,-113.455,73.3836,2.4007
51,-115.037,74.9643,2.40709
52,-116.602,76.0471,2.41225
53,-117.898,77.1138,2.41683
54,-119.057,78.366,2.40248
55,-120.45,79.5362,2.41726
56,-121.662,80.5157,2.40609
57,-122.9,81.6628,2.41049
58,-124.393,82.983,2.41555
59,-125.858,84.303,2.41736
60,-127.049,85.4683,2.41738
61,-128.301,86.6823,2.41978
62,-129.663,87.863,2.42359
63,-130.992,88.9332,2.41896
64,-132.041,89.7503,2.4291
65,-133.626,91.2347,2.43288
66,-135.278,92.6697,2.42507
67,-136.552,93.9011,2.42297
68,-137.84,95.3131,2.41993
69,-139.396,96.7214,2.42298
70,-140.54,97.6994,2.42114
71,-141.586,98.8068,2.42972
72,-142.988,100.035,2.42814
73,-144.078,100.889,2.43533
74,-145.077,101.919,2.43234
75,-146.981,103.696,2.42087
76,-149.069,105.461,2.42559
77,-149.975,106.482,2.41772
78,-151.261,107.967,2.43147
79,-152.411,109.105,2.43318
80,-153.82,110.145,2.44247
81,-155.431,111.379,2.44025
82,-157.012,112.612,2.43937
83,-158.81,114.049,2.43175
84,-160.588,115.547,2.44295
85,-162.199,116.82,2.43319
86,-163.646,118.085,2.43499
87,-164.971,119.386,2.43885
88,-166.306,120.562,2.43907
89,-167.698,121.742,2.43886
90,-168.993,123.028,2.43299
91,-170.172,124.137,2.43432
92,-171.404,125.369,2.43267
93,-172.908,126.722,2.43278
94,-174.485,127.944,2.43227
95,-175.761,129.107,2.43773
96,-177.374,130.459,2.44
97,-178.866,131.713,2.43591
98,-180.268,133.098,2.43196
99,-181.757,134.608,2.43017
100,-183.275,135.876,2.43313
101,-184.738,137.159,2.43426
102,-186.09,138.376,2.43501
103,-187.346,139.412,2.43945
104,-188.794,140.619,2.4363
105,-190.219,141.913,2.4342
106,-191.5,143.15,2.43452
107,-192.963,144.524,2.43303
108,-195.003,146.392,2.41787
109,-196.506,147.606,2.42889
110,-197.513,148.34,2.42546
111,-199.209,150.063,2.41774
112,-200.307,151.207,2.41796
113,-201.129,151.93,2.40916
114,-202.178,152.752,2.41656
115,-204.311,154.35,2.41829
116,-205.367,155.326,2.41516
117,-205.934,155.736,2.40672
118,-206.958,156.494,2.4093
119,-207.768,157.268,2.41333
120,-208.516,158.271,2.41213
121,-209.029,159.037,2.40845
122,-209.542,159.549,2.41307
