id,x,y,yaw
0,-533.3,283.912,2.45183
1,-532.935,284.026,2.45447
2,-533.181,284.108,2.45493
3,-533.348,284.195,2.45542
4,-533.466,284.253,2.44851
5,-533.615,284.368,2.4594
6,-533.745,284.489,2.46073
7,-533.938,284.372,2.456
8,-534.286,284.759,2.45691
9,-534.766,285.272,2.45759
10,-534.732,285.09,2.45237
11,-535.13,285.887,2.45487
12,-535.587,286.4,2.46301
13,-536.198,286.831,2.45897
14,-536.517,287.192,2.46384
15,-537.373,288.331,2.46254
16,-537.589,288.128,2.46978
17,-537.809,288.03,2.45298
18,-538.152,288.293,2.44701
19,-538.914,288.691,2.46219
20,-539.526,289.129,2.46012
21,-540.357,289.315,2.45778
22,-540.83,290.068,2.46288
23,-542.396,292.206,2.50164
24,-542.683,292.097,2.48524
25,-542.918,291.835,2.47225
26,-543.707,292.189,2.46346
27,-544.763,293.278,2.48606
28,-545.179,293.863,2.48166
29,-546.113,294.434,2.49305
30,-547.074,295.045,2.50959
31,-548.032,295.705,2.53395
32,-548.999,296.455,2.56987
33,-549.601,297.453,2.61637
34,-550.446,298.314,2.67551
35,-551.512,298.818,2.7327
36,-552.894,298.612,2.82391
37,-554.79,299.5,2.95316
38,-556.672,298.547,3.01766
39,-558.761,298.355,3.10955
40,-559.981,298.477,-3.03234
41,-561,298.372,-3.0207
42,-562.317,298.067,-2.9614
43,-564.137,297.624,-2.92221
44,-565.585,297.301,-2.84926
45,-567.753,297.149,-2.76725
46,-569.156,296.685,-2.73505
47,-570.688,296.053,-2.69294
48,-571.955,295.38,-2.65873
49,-573.825,294.351,-2.62969
50,-575.602,293.505,-2.59801
51,-577.485,292.411,-2.5646
52,-579.245,291.134,-2.53995
53,-580.561,290.034,-2.51165
54,-581.957,288.931,-2.47708
55,-583.96,287.676,-2.47048
56,-585.864,286.299,-2.44345
57,-587.495,284.871,-2.42502
58,-589.296,283.588,-2.42484
59,-590.9,282.155,-2.42342
60,-593.006,280.3,-2.42157
61,-595.172,278.422,-2.42475
62,-597.127,277.142,-2.43152
63,-598.973,275.22,-2.45595
64,-601.172,272.992,-2.47917
65,-603.527,270.913,-2.48259
66,-605.762,269.456,-2.51336
67,-607.851,268.056,-2.52141
68,-610.017,266.557,-2.54586
69,-612.639,265.381,-2.56128
70,-615.13,264.453,-2.56308
71,-617.169,262.999,-2.58305
72,-619.902,261.233,-2.61035
73,-622.669,260.246,-2.61983
74,-625.545,259.041,-2.63876
75,-628.377,257.565,-2.66874
76,-630.914,256.343,-2.68039
77,-633.919,255.06,-2.71125
78,-636.273,254.105,-2.71887
79,-639.501,252.694,-2.75238
80,-642.281,251.623,-2.75066
81,-644.723,250.903,-2.77324
82,-647.911,249.626,-2.7714
83,-651.163,248.427,-2.80051
84,-653.909,247.535,-2.82932
85,-656.752,246.843,-2.82923
86,-660.308,246.008,-2.84085
87,-663.29,245.238,-2.85696
88,-666.097,244.391,-2.86305
89,-669.099,243.525,-2.86313
90,-672.404,242.572,-2.86452
91,-674.504,242.138,-2.87678
92,-676.65,241.601,-2.87679
93,-679.735,240.944,-2.86824
94,-682.754,239.859,-2.87818
95,-685.651,239.136,-2.88427
96,-688.539,238.513,-2.88103
97,-691.274,237.603,-2.88245
98,-694.618,237.038,-2.88832
99,-697.87,236.333,-2.88922
100,-700.379,236.001,-2.86939
101,-703.35,235.208,-2.8788
