id,x,y,yaw
0,-533.416,284.068,2.45519
1,-533.412,284.084,2.45525
2,-533.335,284.168,2.45558
3,-533.353,284.235,2.45575
4,-533.471,284.238,2.45445
5,-533.512,284.341,2.46001
6,-533.656,284.462,2.45834
7,-533.885,284.535,2.45527
8,-534.236,284.758,2.45914
9,-534.658,285.139,2.45783
10,-534.961,285.381,2.45731
11,-535.296,285.73,2.44965
12,-535.648,286.267,2.45933
13,-536.081,286.755,2.46095
14,-536.476,287.198,2.4609
15,-536.955,287.734,2.46218
16,-537.464,288.148,2.47139
17,-537.875,288.418,2.46449
18,-538.368,288.795,2.46609
19,-538.947,289.105,2.46776
20,-539.473,289.352,2.46018
21,-540.131,289.604,2.46384
22,-540.869,290.224,2.47203
23,-541.779,291.305,2.4879
24,-542.604,291.995,2.48177
25,-543.023,292.233,2.47844
26,-543.562,292.612,2.47199
27,-544.389,293.256,2.48374
28,-545.15,294.003,2.48865
29,-546.253,294.67,2.51003
30,-547.412,295.108,2.51303
31,-548.094,295.573,2.53398
32,-548.843,296.327,2.56844
33,-549.532,297.227,2.61191
34,-550.315,298.151,2.66944
35,-551.379,298.894,2.73744
36,-552.582,298.927,2.81987
37,-554.564,299.07,2.94833
38,-556.659,298.787,3.01786
39,-558.399,298.425,3.11113
40,-560.016,298.592,-3.03157
41,-561.223,298.41,-3.02016
42,-562.504,298.162,-2.96115
43,-564.143,297.856,-2.90997
44,-565.683,297.4,-2.84796
45,-567.251,296.853,-2.77744
46,-569.037,296.36,-2.73211
47,-570.643,295.855,-2.69552
48,-572.042,295.244,-2.65901
49,-573.803,294.342,-2.62779
50,-575.778,293.361,-2.59733
51,-577.619,292.332,-2.56501
52,-579.353,291.115,-2.54339
53,-580.845,289.889,-2.51103
54,-582.277,288.789,-2.47767
55,-583.945,287.698,-2.4605
56,-585.818,286.337,-2.44032
57,-587.525,284.901,-2.42201
58,-589.111,283.539,-2.42752
59,-588.379,284.176,-2.40667
60,-587.251,285.039,-2.40591
61,-588.793,283.402,-2.37934
62,-593.596,279.454,-2.4344
63,-598.759,275.101,-2.46312
64,-601.579,272.331,-2.47824
65,-603.897,270.288,-2.48548
66,-605.992,268.692,-2.50578
67,-607.916,267.48,-2.52995
68,-609.905,266.069,-2.55164
69,-612.268,264.85,-2.56216
70,-614.779,263.903,-2.57456
71,-617.001,262.664,-2.59825
72,-619.577,261.264,-2.60966
73,-622.478,260.102,-2.62196
74,-625.422,258.882,-2.65079
75,-628.357,257.574,-2.67411
76,-630.948,256.404,-2.68651
77,-633.846,255.222,-2.71968
78,-636.683,254.19,-2.72913
79,-639.464,252.917,-2.75148
80,-642.323,251.62,-2.7497
81,-644.833,250.827,-2.77235
82,-648.002,249.729,-2.76484
83,-651.383,248.474,-2.80186
84,-654.011,247.524,-2.80051
85,-656.808,246.614,-2.83462
86,-660.108,245.865,-2.83962
87,-663.217,245.207,-2.85237
88,-666.081,244.443,-2.86624
89,-669.191,243.517,-2.87018
90,-672.429,242.609,-2.86505
91,-674.83,242.113,-2.87874
92,-676.873,241.702,-2.87558
93,-679.578,241.03,-2.86927
94,-682.477,240.064,-2.88057
95,-685.336,239.135,-2.88636
96,-688.291,238.578,-2.88192
97,-691.125,237.864,-2.88199
98,-694.324,237.088,-2.88819
99,-697.806,236.475,-2.89351
100,-700.746,236.077,-2.87209
101,-703.477,235.524,-2.87587
102,-706.585,234.582,-2.8823
103,-709.631,233.573,-2.88785
104,-712.426,232.941,-2.8849
105,-715.437,232.573,-2.89136
106,-718.557,231.889,-2.88995
107,-721.512,230.801,-2.87857
108,-724.272,229.474,-2.87306
109,-726.867,228.202,-2.87065
110,-729.648,227.149,-2.86817
111,-732.624,226.283,-2.86829
112,-735.581,225.579,-2.86825
113,-738.618,224.835,-2.87488
114,-741.912,224.491,-2.90065
115,-745.073,224.078,-2.86934
116,-747.622,223.312,-2.88094
117,-749.972,222.756,-2.85781
118,-752.455,222.255,-2.86594
119,-754.85,222.245,-2.84087
120,-757.668,222.077,-2.84071
121,-761.04,221.479,-2.84347
122,-764.49,220.316,-2.8589
123,-767.649,218.846,-2.86507
124,-770.412,217.814,-2.86987
125,-773.062,217.105,-2.87194
126,-775.625,216.381,-2.87506
127,-777.967,215.683,-2.87674
128,-780.256,215.189,-2.87188
129,-782.63,214.706,-2.87336
130,-785.042,214.22,-2.88014
131,-787.338,213.466,-2.8786
132,-789.434,212.528,-2.88526
133,-791.916,211.796,-2.8888
134,-795.149,211.227,-2.87186
135,-796.5,210.63,-2.86931
136,-796.534,209.895,-2.86104
137,-797.342,209.447,-2.87871
138,-798.448,209.583,-2.86501
139,-799.781,209.721,-2.86862
140,-800.834,209.615,-2.87105
141,-801.852,209.362,-2.87015
142,-802.867,209.233,-2.85979
143,-803.566,209.398,-2.86422
144,-804.223,209.509,-2.86427
145,-804.725,209.539,-2.86117
146,-805.056,209.474,-2.86093
147,-805.355,209.21,-2.86481
148,-805.445,209.058,-2.86392
149,-805.431,209.058,-2.8637
150,-805.396,208.998,-2.86449
151,-805.302,208.975,-2.86516
