id,x,y,yaw
0,-533.416,284.068,2.45519
1,-533.404,284.113,2.45525
2,-533.24,284.247,2.45558
3,-533.487,284.221,2.45585
4,-533.49,284.227,2.45447
5,-533.516,284.443,2.46009
6,-533.782,284.463,2.45852
7,-533.958,284.556,2.45524
8,-534.441,284.912,2.45918
9,-534.761,285.298,2.45819
10,-534.963,285.312,2.45737
11,-535.391,285.975,2.44959
12,-535.646,286.371,2.45943
13,-536.237,286.853,2.46097
14,-536.407,287.203,2.46085
15,-537.173,287.906,2.46221
16,-537.431,288.002,2.47136
17,-537.934,288.413,2.46442
18,-538.403,288.794,2.46604
19,-539.079,289.032,2.46778
20,-539.409,289.298,2.46007
21,-540.381,289.567,2.46388
22,-540.861,290.597,2.47212
23,-542.148,291.708,2.48806
24,-542.357,291.758,2.48562
25,-542.875,292.073,2.47839
26,-543.6,292.624,2.47191
27,-544.59,293.424,2.48373
28,-545.064,294.09,2.4887
29,-546.786,294.687,2.51024
30,-547.305,294.916,2.51299
31,-547.97,295.655,2.53419
32,-548.868,296.488,2.56878
33,-549.372,297.414,2.61234
34,-550.465,298.259,2.66998
35,-551.544,298.806,2.73812
36,-552.809,298.243,2.82068
37,-555.487,299.265,2.9496
38,-556.758,297.796,3.01855
39,-558.645,298.676,3.11207
40,-559.902,298.418,-3.09241
41,-560.983,298.238,-3.02005
42,-562.556,298,-2.96056
43,-564.36,297.726,-2.90897
44,-565.572,297.152,-2.84734
45,-567.447,296.696,-2.77675
46,-569.159,296.275,-2.73166
47,-570.558,295.748,-2.69516
48,-571.92,295.089,-2.65865
49,-574.162,293.978,-2.62748
50,-575.855,293.237,-2.59707
51,-577.715,292.045,-2.56471
52,-579.271,290.88,-2.54317
53,-580.664,289.722,-2.511
54,-582.202,288.782,-2.4773
55,-584.089,287.591,-2.46034
56,-585.953,286.066,-2.44012
57,-587.42,284.798,-2.42182
58,-589.094,283.448,-2.42758
59,-590.608,281.983,-2.42648
60,-592.831,280.288,-2.42031
61,-594.967,277.957,-2.42424
